Date,Weekly_Sales
2010-01-10,42239875.86999992
2010-02-04,50423831.260000035
2010-02-07,48917484.50000017
2010-02-19,48276993.78000006
2010-02-26,43968571.12999993
2010-03-09,47194257.61
2010-03-12,49909027.88000007
2010-03-19,44988974.64000006
2010-03-26,44133961.050000034
2010-04-06,50188543.119999915
2010-04-16,45183667.080000006
2010-04-23,44734452.56000002
2010-04-30,43705126.709999874
2010-05-02,49750740.49999988
2010-05-03,46871470.3
2010-05-11,45781981.89
2010-05-14,45330080.19999999
2010-05-21,45120108.05999994
2010-05-28,47757502.56000001
2010-06-08,48204999.11999994
2010-06-18,47622046.22999998
2010-06-25,46609036.29000002
2010-07-05,48503243.51999991
2010-07-16,46243899.57999996
2010-07-23,44888849.109999955
2010-07-30,44630363.41999992
2010-08-10,45102974.229999974
2010-08-13,46464418.40999996
2010-08-20,47060952.919999994
2010-08-27,45909740.44000011
2010-09-04,47365290.440000035
2010-09-07,47899529.37000009
2010-09-17,43080726.50999983
2010-09-24,41358514.41000003
2010-10-09,45634397.840000056
2010-10-12,55666770.389999814
2010-10-15,43149473.45000014
2010-10-22,43066669.51999998
2010-10-29,43602830.94999994
2010-11-06,47826546.72000009
2010-11-19,45125584.18000006
2010-11-26,65821003.240000084
2010-12-02,48336677.63000006
2010-12-03,45925396.50999998
2010-12-11,46124800.829999916
2010-12-17,61820799.85
2010-12-24,80931415.60000007
2010-12-31,40432519.000000075
2011-01-04,43458991.190000035
2011-01-07,47578519.50000006
2011-01-14,40673678.039999954
2011-01-21,40654648.029999994
2011-01-28,39599852.990000054
2011-02-09,45376623.26999996
2011-02-12,49390556.4899999
2011-02-18,48716164.119999975
2011-02-25,44125859.84000007
2011-03-06,48771994.18000002
2011-03-18,44872325.97000003
2011-03-25,42876199.18000005
2011-04-02,46153111.12
2011-04-03,46980603.73999991
2011-04-11,48655544.3000002
2011-04-15,44973328.14000003
2011-04-22,48676692.05999989
2011-04-29,43530032.77999999
2011-05-08,48015466.97000004
2011-05-13,45446144.81999999
2011-05-20,44046598.01000008
2011-05-27,45293457.03999987
2011-06-05,46861958.2900002
2011-06-17,47447561.77000003
2011-06-24,45884094.579999946
2011-07-01,42775787.76999989
2011-07-10,47211688.36000014
2011-07-15,45515929.91999994
2011-07-22,45274411.39000012
2011-07-29,43683274.27999995
2011-08-04,45887466.799999945
2011-08-07,47859263.78
2011-08-19,46917347.61999986
2011-08-26,47416948.45000011
2011-09-09,46763227.53000005
2011-09-12,55561147.70000017
2011-09-16,43793960.07999998
2011-09-23,42718096.7299999
2011-09-30,42195830.80999997
2011-10-06,47669734.66000002
2011-10-14,44374820.29999992
2011-10-21,45818953.43999992
2011-10-28,45855821.05000005
2011-11-02,47336192.78999979
2011-11-03,44627319.39999998
2011-11-11,48474224.75000006
2011-11-18,46438980.559999995
2011-11-25,66593605.25999993
2011-12-08,46249569.2100001
2011-12-16,60085695.93999998
2011-12-23,76998241.30999984
2011-12-30,46042461.03999984
2012-01-06,48281649.72000005
2012-01-13,42023078.47999996
2012-01-20,42080996.56000003
2012-01-27,39834974.670000054
2012-02-03,46861034.97000005
2012-02-17,50197056.95999993
2012-02-24,45771506.56999987
2012-03-02,46085608.08999996
2012-03-08,47485899.55999997
2012-03-16,46901504.940000065
2012-03-23,44993794.45000002
2012-03-30,45272862.01999999
2012-04-05,47124197.930000074
2012-04-13,46629261.409999974
2012-04-20,45072529.780000016
2012-04-27,43716798.88999998
2012-05-10,47566639.310000025
2012-05-18,46823939.22000004
2012-05-25,47892463.30999993
2012-06-01,44955421.950000025
2012-06-04,53502315.87
2012-06-07,51253021.87999992
2012-06-15,48412110.70000001
2012-06-22,47668284.96999992
2012-06-29,46597112.12000013
2012-07-09,48330059.30999995
2012-07-13,46099732.099999964
2012-07-20,46059543.450000085
2012-07-27,44097154.970000006
2012-08-06,49651171.78000006
2012-08-17,47354452.05000001
2012-08-24,47447323.60000003
2012-08-31,47159639.42999998
2012-09-03,47480454.110000014
2012-09-14,44226038.6499999
2012-09-21,44354547.1100001
2012-09-28,43734899.40000004
2012-10-02,50009407.91999999
2012-10-08,47403451.04000004
2012-10-19,45122410.57000012
2012-10-26,45544116.290000014
2012-11-05,46925878.99000018
2012-12-10,46128514.250000045
